nome,administradora,alavancado,classificacao,aplicmin,txadm,rentdia,rentmes,rentano,pl,inicio
BB CIELO FI AÇÕES,BB Gestão de Recursos DTVM,Não,Ações Setoriais,R$450.47,1.30%,2.68%,10.64%,44.46%,"R$99,715,244.38",6/30/2009
BRADESCO CIELO FI AÇÕES,Banco Bradesco,Não,Ações Setoriais,R$300.00,1.50%,2.68%,10.72%,44.34%,"R$52,567,779.46",6/17/2009
